system/regime,branch,key,n,mean_rmsd,median_rmsd,p95_rmsd,target_pc3_spread_ratio,paired_pc10_mean,paired_pc10_median,median_paired_target_rank,top10_rate,top100_rate,interpretation
experimental HER2 100k raw-particle,Raw-particle 512-dimensional + contrastive assignment objective,direct100k_raw_contrastive002_from_rawbest,9875,4.3132,4.0492,7.4508,,2.9087,2.7839,3862,0.284%,2.380%,Contrastive coordinate output; assignment remains weak without RMSD gain.
experimental HER2 100k raw-particle,Raw 512D initialized from synthetic HER2 direct pretraining,direct100k_raw_synthHER2_pretrain512_epoch5,9875,4.6313,4.3850,7.8916,0.2926,2.9790,2.8509,4430,0.162%,1.468%,Synthetic HER2 direct pretraining transfer control; worsens RMSD and assignment metrics.
experimental HER2 100k raw-particle,Contrastive nearest retrieved surrogate coordinate,direct100k_raw_contrastive002_retrieved_top1,9875,5.6914,5.3774,9.6119,,3.7549,3.6338,3266,0.506%,3.170%,Retrieval improves rank/top100 but damages coordinate RMSD.
experimental HER2 100k raw-particle,Contrastive top-five mean retrieved surrogate coordinate,direct100k_raw_contrastive002_retrieved_top5_mean,9875,5.2876,5.0175,8.9749,,3.3912,3.2990,3108,0.324%,3.392%,Retrieval averaging improves rank/top100 but remains high RMSD.
experimental HER2 100k raw-particle,Contrastive top-ten mean retrieved surrogate coordinate,direct100k_raw_contrastive002_retrieved_top10_mean,9875,5.1998,4.9060,8.8292,,3.3074,3.2126,3018,0.344%,3.473%,Retrieval averaging improves rank/top100 but remains high RMSD.
experimental HER2 100k raw-particle,Contrastive top-twenty mean retrieved surrogate coordinate,direct100k_raw_contrastive002_retrieved_top20_mean,9875,5.1228,4.8268,8.7745,,3.2349,3.1361,3003,0.294%,3.767%,"Best retrieval-style top100, but RMSD is much worse than baseline."
experimental HER2 100k raw-particle,Contrastive weighted local coordinate blend,direct100k_raw_contrastive002_weighted_local_best,9875,4.3122,4.0465,7.4658,,2.9080,2.7872,3804,0.294%,2.481%,Weighted local blend preserves RMSD better than retrieval but still does not beat baseline.
experimental HER2 100k raw-particle,"Retrieve-then-refine residual model, top-five prototype",direct100k_raw_retrieve_refine_k5,9875,4.3428,4.0636,7.4871,,2.9124,2.7927,3662,0.294%,2.623%,Retrieve-then-refine improves rank/top100 modestly but worsens RMSD.
experimental HER2 100k raw-particle,"Retrieve-then-refine residual model, top-ten prototype",direct100k_raw_retrieve_refine_k10,9875,4.3391,4.0617,7.5067,,2.9233,2.8036,3653,0.284%,2.795%,Retrieve-then-refine improves rank/top100 modestly but worsens RMSD.
experimental HER2 100k raw-particle,"Retrieve-then-refine residual model, top-twenty prototype",direct100k_raw_retrieve_refine_k20,9875,4.3299,4.0564,7.4536,,2.9192,2.7995,3658,0.284%,2.724%,Retrieve-then-refine improves rank/top100 modestly but worsens RMSD.
experimental HER2 50k direct ablations,Mean target baseline,mean_target_baseline,9722,4.8982,4.6307,8.3159,,3.0181,2.8960,,,,"Trivial coordinate baseline; useful RMSD reference, not an assignment model."
experimental HER2 50k direct ablations,Random target baseline,random_target_baseline,9722,6.9446,6.5784,11.7338,,4.3028,4.1848,,,,Random target baseline; confirms learned branches are not arbitrary target draws.
experimental HER2 50k direct ablations,Direct image 512D,plain_512d,9722,4.5238,4.2410,7.7533,0.3944,3.0020,2.8911,3968,0.226%,2.006%,50k plain direct baseline; useful ablation context.
experimental HER2 50k direct ablations,512D + one-epoch fine-tune,unweighted_ft1_512d,9722,4.4748,4.1882,7.7334,0.4430,2.9305,2.7927,3899,0.195%,2.119%,50k one-epoch fine-tune control; recovers most confidence-weighting gain.
experimental HER2 50k direct ablations,512D + confidence weighting,confweight_512d,9722,4.4724,4.1810,7.7191,0.4240,2.9296,2.7910,3941,0.226%,2.057%,"50k confidence weighting; small controlled signal, not a breakthrough."
experimental HER2 50k direct ablations,512D + shuffled confidence,confshuffle_ft1_512d,9722,4.4749,4.1841,7.7337,,2.9312,2.7921,3903,0.175%,2.129%,50k shuffled-confidence control; similar to unweighted fine-tune.
experimental HER2 50k direct ablations,512D + PCA-score,pcascore002_512d,9722,4.5094,4.2173,7.7183,0.3794,2.9763,2.8541,3979,0.185%,1.893%,50k PCA-score control; small RMSD gain only.
experimental HER2 50k direct ablations,512D + PCA-local,pcalocal002_512d,9722,4.5217,4.2229,7.8453,0.4765,3.0936,2.9733,3899,0.165%,2.273%,50k PCA-local control; spread can increase without assignment success.
experimental HER2 50k direct ablations,Direct image 256D,bottleneck256,9722,4.9032,4.6345,8.3363,0.0241,3.0200,2.8933,4861,0.103%,1.029%,50k bottleneck negative control; RMSD and spread show collapse risk.
